Date : 2022-10-25 14:30:14
Directory : c:\Unity\ArrowsDemo\Assets\Code
Total : 306 files,  12646 codes, 157 comments, 2064 blanks, all 14867 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        285 |     12,552 |        157 |      2,061 |     14,770 |
| JSON     |         20 |         88 |          0 |          0 |         88 |
| Python   |          1 |          6 |          0 |          3 |          9 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |        306 |     12,646 |        157 |      2,064 |     14,867 |
| Asset Scripts                                                                                                                                                |         53 |      1,828 |         21 |        301 |      2,150 |
| Asset Scripts\Asset Creation                                                                                                                                 |         44 |      1,462 |         19 |        240 |      1,721 |
| Asset Scripts\Asset Creation\AssetCreationTests                                                                                                              |         20 |        613 |          2 |         88 |        703 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets                                                                                                   |         15 |         60 |          0 |          0 |         60 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow                                                                                          |          6 |         24 |          0 |          0 |         24 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernCarbon                                                                             |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernCarbonTinted                                                                       |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernRedWood                                                                            |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernRedWoodGold                                                                        |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\RedWood                                                                                  |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\Wood                                                                                     |          1 |          4 |          0 |          0 |          4 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet                                                                                     |          3 |         12 |          0 |          0 |         12 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet\Crossbow                                                                            |          3 |         12 |          0 |          0 |         12 |
| Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet\Crossbow\DataUpdate                                                                 |          1 |          4 |          0 |          0 |          4 |
