Date : 2022-06-18 16:10:26
Directory : c:\Unity\ArrowsDemo\Assets\Code
Total : 188 files,  7963 codes, 193 comments, 1247 blanks, all 9403 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        188 |      7,963 |        193 |      1,247 |      9,403 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        188 |      7,963 |        193 |      1,247 |      9,403 |
| Asset Scripts                                                                                                        |         19 |        754 |         58 |        129 |        941 |
| Asset Scripts\Asset Creation                                                                                         |         10 |        397 |         56 |         68 |        521 |
| Asset Scripts\Asset Creation\Projectile                                                                              |          5 |        257 |          0 |         39 |        296 |
| Asset Scripts\Instantiation                                                                                          |          3 |        100 |          0 |         15 |        115 |
| Asset Scripts\Movement                                                                                               |          3 |        162 |          1 |         29 |        192 |
| Asset Scripts\Movement\Balistic Mover                                                                                |          2 |        132 |          0 |         23 |        155 |
| Asset Scripts\Movement\Balistic Mover\Spline                                                                         |          1 |         84 |          0 |         12 |         96 |
| Asset Scripts\Visuals                                                                                                |          3 |         95 |          1 |         17 |        113 |
| Data Management                                                                                                      |         40 |      1,315 |          0 |        175 |      1,490 |
| Data Management\Class Data Repository                                                                                |         27 |        962 |          0 |        129 |      1,091 |
| Data Management\Class Data Repository\Cusom Exceptions                                                               |          1 |         60 |          0 |         12 |         72 |
| Data Management\Class Data Repository\Operation Applier                                                              |          7 |        162 |          0 |          6 |        168 |
| Data Management\Disk Access                                                                                          |          5 |        137 |          0 |         18 |        155 |
| Data Management\Disk Access\Game Folders                                                                             |          5 |        137 |          0 |         18 |        155 |
| Data Management\Non Volatile                                                                                         |          4 |         68 |          0 |         10 |         78 |
| Data Management\Non Volatile\Infrastructure                                                                          |          2 |         30 |          0 |          4 |         34 |
| Data Management\Serialization                                                                                        |          4 |        148 |          0 |         18 |        166 |
| Extension Methods                                                                                                    |          2 |         90 |          0 |          9 |         99 |
| Game                                                                                                                 |         96 |      4,187 |         73 |        669 |      4,929 |
| Game Math                                                                                                            |          6 |        392 |         22 |         54 |        468 |
| Game Math\Counters                                                                                                   |          2 |         75 |          0 |         13 |         88 |
| Game Math\Extension Methods                                                                                          |          2 |         35 |          0 |          2 |         37 |
| Game\Game State                                                                                                      |         26 |      1,314 |         15 |        212 |      1,541 |
| Game\Game State\States                                                                                               |         22 |      1,077 |         15 |        178 |      1,270 |
| Game\Game State\States\Ad                                                                                            |          2 |         60 |          1 |          8 |         69 |
