"filename", "language", "C#", "comment", "blank", "total"
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\ProjectileInjestData.cs", "C#", 23, 0, 4, 27
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\ProjectilePrefabCreator.cs", "C#", 17, 56, 10, 83
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\ProjectileRawModelLoader.cs", "C#", 35, 0, 6, 41
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\BundleProjectilePrefabGenerator.cs", "C#", 58, 0, 7, 65
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\PermanentProjectileInjester.cs", "C#", 139, 0, 23, 162
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\PermanentProjectileInjesterInspector.cs", "C#", 20, 0, 4, 24
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\ProjectileSkinData.cs", "C#", 40, 0, 4, 44
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\TemporaryProjectileInjester.cs", "C#", 0, 0, 1, 1
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\RawModelLoader.cs", "C#", 41, 0, 6, 47
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\SkinPackage.cs", "C#", 24, 0, 3, 27
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Instantiation\IIntantiator.cs", "C#", -1, 0, 0, -1
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Instantiation\InvisibleInstantiator.cs", "C#", 15, 0, 3, 18
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Visuals\PulsatingTransparency.cs", "C#", -2, 0, 0, -2
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Visuals\ScrollTexture.cs", "C#", 0, 1, 1, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryAccessor.cs", "C#", 21, 0, 5, 26
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryIngester.cs", "C#", 11, -32, -3, -24
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryManager.cs", "C#", 44, 0, 7, 51
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryReader.cs", "C#", 15, 0, 3, 18
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ConfigurableField.cs", "C#", 2, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ConfigurableFieldUtils.cs", "C#", 5, 0, 1, 6
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\FieldMetadata.cs", "C#", 20, 0, 2, 22
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IOptionsGetter.cs", "C#", 9, 0, 1, 10
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryAccessor.cs", "C#", 1, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryValueReader.cs", "C#", 2, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\BoolApplier.cs", "C#", 25, 0, 1, 26
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\OperationApplierFactory.cs", "C#", 2, 0, 0, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\RegistrySpecificAttributes.cs", "C#", 8, 0, 2, 10
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\EditorGameFolders.cs", "C#", 29, 0, 5, 34
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\GameFolders.cs", "C#", -19, 0, -1, -20
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\IGameFolders.cs", "C#", 1, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\JsonDataStorage.cs", "C#", -25, 0, 0, -25
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\JsonFileOperations.cs", "C#", 63, 0, 5, 68
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\GameState.cs", "C#", 1, 0, 1, 2
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\AppStateFactory.cs", "C#", 6, -3, 0, 3
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\IPostRun.cs", "C#", -2, 0, 0, -2
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRun.cs", "C#", 3, -9, -1, -7
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRunFailedRun.cs", "C#", 7, 0, 2, 9
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\IPreRun.cs", "C#", 12, 0, 1, 13
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRun.cs", "C#", -39, 1, -8, -46
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunFactory.cs", "C#", 5, 2, 1, 8
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunSkipToRun.cs", "C#", 36, 0, 8, 44
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunUI.cs", "C#", 11, 0, 3, 14
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughContext.cs", "C#", 0, -11, -2, -13
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Meta\Skins\ProjectileCollection.cs", "C#", 10, 0, 2, 12
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\ArrowsRunthroughFactory.cs", "C#", 23, 0, 8, 31
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Context Provider\UserContextConverter.cs", "C#", 7, 0, 1, 8
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\ISequenceManager.cs", "C#", -1, 1, 0, 0
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationPair.cs", "C#", 11, 0, 2, 13
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\Operation\OperationPairComponent.cs", "C#", 17, 0, 3, 20
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Operation Sequence\SequenceManager.cs", "C#", -9, -55, -12, -76
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Track\Track Items\Ring.cs", "C#", 18, -3, 6, 21
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Playfield Components\Track\TrackFiller.cs", "C#", 8, 0, 1, 9
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\GameCamera\ResolutionScaler.cs", "C#", -19, 0, -4, -23
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\Projectiles\ArrowBundle.cs", "C#", 1, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\Projectiles\FallingProjectileSpawner.cs", "C#", 1, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\Projectiles\IProjectile.cs", "C#", 0, 0, -1, -1
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\Projectiles\ProjectileDatabase.cs", "C#", 27, 0, 3, 30
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\Projectiles\ProjectileGenerator.cs", "C#", 25, -2, 4, 27
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\Runthrough Components\States\FinishingScene.cs", "C#", 97, 0, 18, 115
"c:\Unity\ArrowsDemo\Assets\Code\Game\Gameplay\Realtime\RunthroughContextManager.cs", "C#", 73, 0, 16, 89
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\IMicrointeractionPacket.cs", "C#", 6, 0, 0, 6
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\IMicrointerationActivator.cs", "C#", 8, 0, 2, 10
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\MicrointeractionEventHandler.cs", "C#", 12, 0, 2, 14
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Ring Animation\RingAnimationInteractor.cs", "C#", 30, 0, 5, 35
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Ring Animation\RingAnimationPacket.cs", "C#", 11, 0, 1, 12
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Vibration\VibrationEffect.cs", "C#", 9, 0, 0, 9
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Vibration\VibrationInteractor.cs", "C#", 32, 0, 7, 39
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Vibration\VibrationPacket.cs", "C#", 11, 0, 1, 12
"c:\Unity\ArrowsDemo\Assets\Code\Game\Microinteractions\Vibration\VibrationService.cs", "C#", 69, 0, 15, 84
"c:\Unity\ArrowsDemo\Assets\Code\Input\Controller Components\TouchTranslationMovementController.cs", "C#", 44, -1, 10, 53
"c:\Unity\ArrowsDemo\Assets\Code\Scene Installers\GameInstaller.cs", "C#", 39, 2, 5, 46
"c:\Unity\ArrowsDemo\Assets\Code\Settings\GraphicSettings\GraphicsPresset.cs", "C#", 68, 0, 14, 82
"c:\Unity\ArrowsDemo\Assets\Code\Settings\GraphicSettings\ResolutionScaling.cs", "C#", 50, 0, 10, 60
"c:\Unity\ArrowsDemo\Assets\Code\Settings\ISettingsService.cs", "C#", -11, 0, -2, -13
"c:\Unity\ArrowsDemo\Assets\Code\Settings\InspectorOptionSelector.cs", "C#", -10, 0, -2, -12
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionExecution\ISettingsCommandService.cs", "C#", -7, 0, 0, -7
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionExecution\ISettingsExecutorService.cs", "C#", -8, 0, -1, -9
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionExecution\SettingsExecutorService.cs", "C#", -23, 0, -1, -24
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionExecution\UpdateResolutionScalingService.cs", "C#", -21, 0, -2, -23
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionExecution\UpdateTouchSensitivityService.cs", "C#", -25, 0, -2, -27
"c:\Unity\ArrowsDemo\Assets\Code\Settings\OptionsEnum.cs", "C#", -33, 0, -4, -37
"c:\Unity\ArrowsDemo\Assets\Code\Settings\SettingsContainer.cs", "C#", -119, -1, -10, -130
"c:\Unity\ArrowsDemo\Assets\Code\Settings\SettingsRegistryManager.cs", "C#", 32, 0, 6, 38
"c:\Unity\ArrowsDemo\Assets\Code\Settings\SettingsService.cs", "C#", -83, 0, -15, -98
"c:\Unity\ArrowsDemo\Assets\Code\UI\Elements\ToggleVisualizer.cs", "C#", 56, 0, 13, 69
"c:\Unity\ArrowsDemo\Assets\Code\UI\EnumSwitcher\EnumSwitcherHelper.cs", "C#", -32, 0, -6, -38
"c:\Unity\ArrowsDemo\Assets\Code\UI\EnumSwitcher\EnumSwitcherHelperInspector.cs", "C#", -44, -6, -9, -59
